
         Overlap matrices  exact - Jain states for N=8 electrons
OVERL  =    -1.1558789581011D-02
OVERL2 =     1.3360561657808D-04

4-4_66j5          8-66-0              
OVERL  =    -4.3133867621926D-02
OVERL2 =     1.8605305360258D-03

4-4_66j5          8-66-1              
OVERL  =    -5.5898010117559D-04
OVERL2 =     3.1245875351027D-07

4-4_66j5          8-66-2              
OVERL  =    -3.5635213830255D-02
OVERL2 =     1.2698684647280D-03

5-3_66j1          8-66-0              
OVERL  =    0.89291133876015
OVERL2 =    0.79729065888644

5-3_66j1          8-66-1              
OVERL  =    -2.4258347660498D-05
OVERL2 =     5.8846743121759D-10

5-3_67j1          8-67-0              
OVERL  =    0.59032291609387
OVERL2 =    0.34848114526557

5-3_67j1          8-67-1              
OVERL  =    -1.7309984574768D-06
OVERL2 =     2.9963556597872D-12

5-3_67j1          8-67-2              
OVERL  =     5.7413236966803D-03
OVERL2 =     3.2962797790062D-05

5-3_67j2          8-67-0              
OVERL  =    0.41734498654743
OVERL2 =    0.17417683779627

5-3_67j2          8-67-1              
OVERL  =    -1.9569761497978D-06
OVERL2 =     3.8297556508773D-12

5-3_67j2          8-67-2              
OVERL  =    -6.7340126688155D-03
OVERL2 =     4.5346926623768D-05

5-3_68j1          8-68-0              
OVERL  =    -2.9041901053142D-02
OVERL2 =     8.4343201678046D-04

5-3_68j1          8-68-1              
OVERL  =   -0.63346810226587
OVERL2 =    0.40128183658832

5-3_68j1          8-68-2              
OVERL  =   -0.21195766570624
OVERL2 =     4.4926052051636D-02

5-3_68j1          8-68-3              
OVERL  =    -1.7353469250585D-06
OVERL2 =     3.0114289503098D-12

5-3_68j1          8-68-4              
OVERL  =    -5.3331366288854D-05
OVERL2 =     2.8442346302359D-09

5-3_68j1          8-68-5              
OVERL  =     9.9687277674233D-02
OVERL2 =     9.9375533300996D-03

5-3_68j2          8-68-0              
OVERL  =    0.31672631652971
OVERL2 =     1.0031555958248D-01

5-3_68j2          8-68-1              
OVERL  =    0.58714747428366
OVERL2 =    0.34474215655768

5-3_68j2          8-68-2              
OVERL  =   -0.23057976558213
OVERL2 =     5.3167028295912D-02

5-3_68j2          8-68-3              
OVERL  =    -1.6831467071146D-06
OVERL2 =     2.8329828376709D-12

5-3_68j2          8-68-4              
OVERL  =    -4.0767666237324D-05
OVERL2 =     1.6620026104379D-09

5-3_68j2          8-68-5              
OVERL  =     7.6215649657456D-02
OVERL2 =     5.8088252527080D-03

5-3_68j3          8-68-0              
OVERL  =   -0.35713318676498
OVERL2 =    0.12754411308891

5-3_68j3          8-68-1              
OVERL  =    0.11427421480316
OVERL2 =     1.3058596168878D-02

5-3_68j3          8-68-2              
OVERL  =   -0.37230206679274
OVERL2 =    0.13860882893814

5-3_68j3          8-68-3              
OVERL  =    -2.4282368098669D-06
OVERL2 =     5.8963340047926D-12

5-3_68j3          8-68-4              
OVERL  =     2.4032471782768D-05
OVERL2 =     5.7755969998953D-10

5-3_68j3          8-68-5              
OVERL  =    -4.8043560394977D-02
OVERL2 =     2.3081836954258D-03

5-3_68j4          8-68-0              
OVERL  =    0.15981078939420
OVERL2 =     2.5539488406798D-02

5-3_68j4          8-68-1              
OVERL  =   -0.46286063156284
OVERL2 =    0.21423996425075

5-3_68j4          8-68-2              
OVERL  =   -0.11721526250512
OVERL2 =     1.3739417764144D-02

5-3_68j4          8-68-3              
OVERL  =    -1.8152532709537D-06
OVERL2 =     3.2951444377081D-12

5-3_68j4          8-68-4              
OVERL  =     5.0560180053221D-05
OVERL2 =     2.5563318070141D-09

5-3_68j4          8-68-5              
OVERL  =    -9.6572727784702D-02
OVERL2 =     9.3262917517782D-03

5-3_68j5          8-68-0              
OVERL  =    0.23782539983585
OVERL2 =     5.6560920807080D-02

5-3_68j5          8-68-1              
OVERL  =    0.37092050044860
OVERL2 =    0.13758201765304

5-3_68j5          8-68-2              
OVERL  =   -0.11129600049626
OVERL2 =     1.2386799726463D-02

5-3_68j5          8-68-3              
OVERL  =    -5.8260151789104D-07
OVERL2 =     3.3942452864894D-13

5-3_68j5          8-68-4              
OVERL  =     3.0285025689477D-05
OVERL2 =     9.1718278101226D-10

5-3_68j5          8-68-5              
OVERL  =    -5.7657081969958D-02
OVERL2 =     3.3243391012905D-03

5-3_69j1          8-69-0              
OVERL  =    -1.7659291702857D-02
OVERL2 =     3.1185058344658D-04

5-3_69j1          8-69-1              
OVERL  =    0.25107037704141
OVERL2 =     6.3036334227718D-02

5-3_69j1          8-69-2              
OVERL  =   -0.38446339541601
OVERL2 =    0.14781210241481

5-3_69j1          8-69-3              
OVERL  =     3.8851561403033D-02
OVERL2 =     1.5094438234536D-03

5-3_69j1          8-69-4              
OVERL  =    -6.1740563397261D-05
OVERL2 =     3.8118971686112D-09

5-3_69j1          8-69-5              
OVERL  =   -0.53063174635851
OVERL2 =    0.28157005024348

5-3_69j1          8-69-6              
OVERL  =    -3.0741259386823D-03
OVERL2 =     9.4502502868796D-06

5-3_69j1          8-69-7              
OVERL  =     4.2855334665023D-02
OVERL2 =     1.8365797092511D-03

5-3_69j1          8-69-8              
OVERL  =   -0.16866479055971
OVERL2 =     2.8447811574552D-02

5-3_69j1          8-69-9              
OVERL  =   -0.14635337013260
OVERL2 =     2.1419308949170D-02

5-3_69j1          8-69-10             
OVERL  =     8.4748041606185D-02
OVERL2 =     7.1822305560837D-03

5-3_69j2          8-69-0              
OVERL  =    0.17959123269198
OVERL2 =     3.2253010859827D-02

5-3_69j2          8-69-1              
OVERL  =   -0.42101062480683
OVERL2 =    0.17724994620024

5-3_69j2          8-69-2              
OVERL  =     5.9393959061632D-02
OVERL2 =     3.5276423730149D-03

5-3_69j2          8-69-3              
OVERL  =    0.14462916103018
OVERL2 =     2.0917594220293D-02

5-3_69j2          8-69-4              
OVERL  =     5.8102956858314D-05
OVERL2 =     3.3759535956790D-09

5-3_69j2          8-69-5              
OVERL  =    0.51785547353978
OVERL2 =    0.26817429147511

5-3_69j2          8-69-6              
OVERL  =     3.0142383632423D-03
OVERL2 =     9.0856329104416D-06

5-3_69j2          8-69-7              
OVERL  =     6.5742444780299D-02
OVERL2 =     4.3220690456906D-03

5-3_69j2          8-69-8              
OVERL  =     9.9979569767998D-02
OVERL2 =     9.9959143709941D-03

5-3_69j2          8-69-9              
OVERL  =     2.9440015473966D-02
OVERL2 =     8.6671451110734D-04

5-3_69j2          8-69-10             
OVERL  =    0.12998318903344
OVERL2 =     1.6895629431304D-02

5-3_69j3          8-69-0              
OVERL  =    0.10995775134275
OVERL2 =     1.2090707080355D-02

5-3_69j3          8-69-1              
OVERL  =    0.58060239266514
OVERL2 =    0.33709913836848

5-3_69j3          8-69-2              
OVERL  =    0.20169288399289
OVERL2 =     4.0680019453368D-02

5-3_69j3          8-69-3              
OVERL  =     6.5349566271533D-02
OVERL2 =     4.2705658118774D-03

5-3_69j3          8-69-4              
OVERL  =    -4.8493524665059D-05
OVERL2 =     2.3516219344407D-09

5-3_69j3          8-69-5              
OVERL  =   -0.41579441421369
OVERL2 =    0.17288499489130

5-3_69j3          8-69-6              
OVERL  =    -2.4098639273551D-03
OVERL2 =     5.8074441483675D-06

5-3_69j3          8-69-7              
OVERL  =     1.8726543305322D-02
OVERL2 =     3.5068342416609D-04

5-3_69j3          8-69-8              
OVERL  =    -1.7840694895758D-02
OVERL2 =     3.1829039436353D-04

5-3_69j3          8-69-9              
OVERL  =     8.0681571356078D-02
OVERL2 =     6.5095159564860D-03

5-3_69j3          8-69-10             
OVERL  =     3.6969154560038D-02
OVERL2 =     1.3667183888840D-03

5-3_69j4          8-69-0              
OVERL  =   -0.22989405467347
OVERL2 =     5.2851276374210D-02

5-3_69j4          8-69-1              
OVERL  =    0.10534461879324
OVERL2 =     1.1097488708694D-02

5-3_69j4          8-69-2              
OVERL  =   -0.21151190106723
OVERL2 =     4.4737284293072D-02

5-3_69j4          8-69-3              
OVERL  =    0.16574048639685
OVERL2 =     2.7469908831066D-02

5-3_69j4          8-69-4              
OVERL  =     2.6185600644167D-05
OVERL2 =     6.8568568109582D-10

5-3_69j4          8-69-5              
OVERL  =    0.24457105265467
OVERL2 =     5.9814999796612D-02

5-3_69j4          8-69-6              
OVERL  =     1.4213954660667D-03
OVERL2 =     2.0203650709550D-06

5-3_69j4          8-69-7              
OVERL  =     1.0290093202342D-02
OVERL2 =     1.0588601811289D-04

5-3_69j4          8-69-8              
OVERL  =    0.15894848208611
OVERL2 =     2.5264619957480D-02

5-3_69j4          8-69-9              
OVERL  =    -7.2235278929723D-02
OVERL2 =     5.2179355220549D-03

5-3_69j4          8-69-10             
OVERL  =     1.9634549487542D-02
OVERL2 =     3.8551553357874D-04

5-3_69j5          8-69-0              
OVERL  =    -2.8282909631322D-02
OVERL2 =     7.9992297721352D-04

5-3_69j5          8-69-1              
OVERL  =   -0.13509726417033
OVERL2 =     1.8251270786308D-02

5-3_69j5          8-69-2              
OVERL  =    0.32237765175875
OVERL2 =     1.0392735035349D-01

5-3_69j5          8-69-3              
OVERL  =    0.19794148588198
OVERL2 =     3.9180831833168D-02

5-3_69j5          8-69-4              
OVERL  =    -2.8786246149399D-05
OVERL2 =     8.2864796737377D-10

5-3_69j5          8-69-5              
OVERL  =   -0.23189684541924
OVERL2 =     5.3776146915396D-02

5-3_69j5          8-69-6              
OVERL  =    -1.3446546901146D-03
OVERL2 =     1.8080962356471D-06

5-3_69j5          8-69-7              
OVERL  =     8.3534619545317D-03
OVERL2 =     6.9780326625809D-05

5-3_69j5          8-69-8              
OVERL  =   -0.12788641443892
OVERL2 =     1.6354934998043D-02

5-3_69j5          8-69-9              
OVERL  =    0.13459946094696
OVERL2 =     1.8117014887213D-02

5-3_69j5          8-69-10             
OVERL  =     1.5751143077064D-02
OVERL2 =     2.4809850823413D-04

5-3_69j6          8-69-0              
OVERL  =    -8.1426696646489D-02
OVERL2 =     6.6303069267593D-03

5-3_69j6          8-69-1              
OVERL  =    -8.0379687444318D-02
OVERL2 =     6.4608941536462D-03

5-3_69j6          8-69-2              
OVERL  =   -0.23883400949137
OVERL2 =     5.7041684089723D-02

5-3_69j6          8-69-3              
OVERL  =    0.13226072783014
OVERL2 =     1.7492900126159D-02

5-3_69j6          8-69-4              
OVERL  =     7.5989191571033D-06
OVERL2 =     5.7743572356191D-11

5-3_69j6          8-69-5              
OVERL  =     7.7826360261487D-02
OVERL2 =     6.0569423515508D-03

5-3_69j6          8-69-6              
OVERL  =     4.4537493231461D-04
OVERL2 =     1.9835883033424D-07

5-3_69j6          8-69-7              
OVERL  =    -6.1096317782660D-02
OVERL2 =     3.7327600465997D-03

5-3_69j6          8-69-8              
OVERL  =    -8.6095455935181D-02
OVERL2 =     7.4124275326867D-03

5-3_69j6          8-69-9              
OVERL  =    -1.4975171487247D-02
OVERL2 =     2.2425576107246D-04

5-3_69j6          8-69-10             
OVERL  =   -0.12215940707186
OVERL2 =     1.4922920736149D-02

5-3_69j7          8-69-0              
OVERL  =     4.1529922695201D-02
OVERL2 =     1.7247344790694D-03

5-3_69j7          8-69-1              
OVERL  =     1.0359712531326D-01
OVERL2 =     1.0732364373172D-02

5-3_69j7          8-69-2              
OVERL  =    0.26272465538993
OVERL2 =     6.9024244549759D-02

5-3_69j7          8-69-3              
OVERL  =    0.12993840033636
OVERL2 =     1.6883987881973D-02

5-3_69j7          8-69-4              
OVERL  =    -2.0396500952340D-05
OVERL2 =     4.1601725109882D-10

5-3_69j7          8-69-5              
OVERL  =   -0.16865983295579
OVERL2 =     2.8446139252674D-02

5-3_69j7          8-69-6              
OVERL  =    -9.8543589715337D-04
OVERL2 =     9.7108390739847D-07

5-3_69j7          8-69-7              
OVERL  =    -3.5706083512808D-02
OVERL2 =     1.2749243998236D-03

5-3_69j7          8-69-8              
OVERL  =     2.1967874574894D-02
OVERL2 =     4.8258751333826D-04

5-3_69j7          8-69-9              
OVERL  =     2.5753337062696D-02
OVERL2 =     6.6323436986485D-04

5-3_69j7          8-69-10             
OVERL  =    -7.1391844635603D-02
OVERL2 =     5.0967954804741D-03

5-3_69j8          8-69-0              
OVERL  =     9.1263775718132D-02
OVERL2 =     8.3290767583295D-03

5-3_69j8          8-69-1              
OVERL  =    0.21564445906050
OVERL2 =     4.6502532723495D-02

5-3_69j8          8-69-2              
OVERL  =   -0.26360829896553
OVERL2 =     6.9489335283499D-02

5-3_69j8          8-69-3              
OVERL  =     1.4198693588664D-02
OVERL2 =     2.0160289962477D-04

5-3_69j8          8-69-4              
OVERL  =    -3.0530385912871D-05
OVERL2 =     9.3210446398886D-10

5-3_69j8          8-69-5              
OVERL  =   -0.26175671562237
OVERL2 =     6.8516578173411D-02

5-3_69j8          8-69-6              
OVERL  =    -1.5234619809538D-03
OVERL2 =     2.3209364074118D-06

5-3_69j8          8-69-7              
OVERL  =    -3.9018141959709D-02
OVERL2 =     1.5224154019880D-03

5-3_69j8          8-69-8              
OVERL  =     7.3806131588204D-02
OVERL2 =     5.4473450600153D-03

5-3_69j8          8-69-9              
OVERL  =    -3.8763811912656D-02
OVERL2 =     1.5026331139998D-03

5-3_69j8          8-69-10             
OVERL  =    -7.7697536628671D-02
OVERL2 =     6.0369071981637D-03

5-3_69j9          8-69-0              
OVERL  =    0.19497682178813
OVERL2 =     3.8015961034600D-02

5-3_69j9          8-69-1              
OVERL  =   -0.21995625667539
OVERL2 =     4.8380754850649D-02

5-3_69j9          8-69-2              
OVERL  =     5.3805298191524D-02
OVERL2 =     2.8950101134788D-03

5-3_69j9          8-69-3              
OVERL  =     6.6624062493193D-02
OVERL2 =     4.4387657030968D-03

5-3_69j9          8-69-4              
OVERL  =     3.3349035547680D-05
OVERL2 =     1.1121581719604D-09

5-3_69j9          8-69-5              
OVERL  =    0.29369974581692
OVERL2 =     8.6259540692925D-02

5-3_69j9          8-69-6              
OVERL  =     1.6988792203252D-03
OVERL2 =     2.8861906052528D-06

5-3_69j9          8-69-7              
OVERL  =    -4.7714263145232D-02
OVERL2 =     2.2766509074924D-03

5-3_69j9          8-69-8              
OVERL  =     4.7365293335503D-03
OVERL2 =     2.2434710127583D-05

5-3_69j9          8-69-9              
OVERL  =    -1.5140733849398D-02
OVERL2 =     2.2924182149831D-04

5-3_69j9          8-69-10             
OVERL  =    -9.5064932163632D-02
OVERL2 =     9.0373413272760D-03

5-3_69j10         8-69-0              
OVERL  =     4.7710348660116D-02
OVERL2 =     2.2762773692699D-03

5-3_69j10         8-69-1              
OVERL  =    0.13551942496217
OVERL2 =     1.8365514542076D-02

5-3_69j10         8-69-2              
OVERL  =     7.3713936946192D-02
OVERL2 =     5.4337445001072D-03

5-3_69j10         8-69-3              
OVERL  =     1.9861814501593D-02
OVERL2 =     3.9449167529570D-04

5-3_69j10         8-69-4              
OVERL  =    -1.5366534414514D-05
OVERL2 =     2.3613037991246D-10

5-3_69j10         8-69-5              
OVERL  =   -0.13187393389441
OVERL2 =     1.7390734440788D-02

5-3_69j10         8-69-6              
OVERL  =    -7.6601458091149D-04
OVERL2 =     5.8677833816900D-07

5-3_69j10         8-69-7              
OVERL  =    -8.1704936377976D-03
OVERL2 =     6.6756966285291D-05

5-3_69j10         8-69-8              
OVERL  =    -4.1735099102039D-02
OVERL2 =     1.7418184970570D-03

5-3_69j10         8-69-9              
OVERL  =     2.9393064772708D-03
OVERL2 =     8.6395225673259D-06

5-3_69j10         8-69-10             
OVERL  =    -1.6296296247348D-02
OVERL2 =     2.6556927138131D-04

6-1-1_68j1        8-68-0              
OVERL  =   -0.93282867873864
OVERL2 =    0.87016934387727

6-1-1_68j1        8-68-1              
OVERL  =    0.11849050024767
OVERL2 =     1.4039998648944D-02

6-1-1_69j1        8-69-0              
OVERL  =   -0.63856640330517
OVERL2 =    0.40776705143010

6-1-1_69j1        8-69-1              
OVERL  =    0.61561352545277
OVERL2 =    0.37898001272039

6-1-1_69j1        8-69-2              
OVERL  =     8.0597516292736D-02
OVERL2 =     6.4959596325578D-03

6-1-1_69j1        8-69-3              
OVERL  =     1.0551856200824D-02
OVERL2 =     1.1134166928286D-04

6-1-1_69j2        8-69-0              
OVERL  =   -0.22528104329190
OVERL2 =     5.0751548466689D-02

6-1-1_69j2        8-69-1              
OVERL  =   -0.76476435782770
OVERL2 =    0.58486452300362

6-1-1_69j2        8-69-2              
OVERL  =     2.8449116854074D-02
OVERL2 =     8.0935224977676D-04

6-1-1_69j2        8-69-3              
OVERL  =     3.7216838084931D-03
OVERL2 =     1.3850930370400D-05

6-1-1_69j3        8-69-0              
OVERL  =   -0.27793866903858
OVERL2 =     7.7249903746935D-02

6-1-1_69j3        8-69-1              
OVERL  =   -0.66390001558036
OVERL2 =    0.44076323068761

6-1-1_69j3        8-69-2              
OVERL  =     3.5094527735053D-02
OVERL2 =     1.2316258769464D-03

6-1-1_69j3        8-69-3              
OVERL  =     4.5918268569492D-03
OVERL2 =     2.1084873884200D-05

6-2_70j1          8-70-0              
OVERL  =    0.98565803442506
OVERL2 =    0.97152176082667

6-2_70j1          8-70-1              
OVERL  =    -9.5548807864979D-03
OVERL2 =     9.1295746844186D-05

6-2_71j1          8-71-0              
OVERL  =   -0.72238829598666
OVERL2 =    0.52184485017850

6-2_71j1          8-71-1              
OVERL  =   -0.67049212460922
OVERL2 =    0.44955968916299

6-2_71j1          8-71-2              
OVERL  =     3.0375220559418D-03
OVERL2 =     9.2265402403329D-06

6-2_71j2          8-71-0              
OVERL  =   -0.33312685798963
OVERL2 =    0.11097350351404

6-2_71j2          8-71-1              
OVERL  =    0.92753530885339
OVERL2 =    0.86032174916976

6-2_71j2          8-71-2              
OVERL  =     1.0626552883767D-02
OVERL2 =     1.1292362619150D-04

6-2_72j1          8-72-0              
OVERL  =    0.41689106081810
OVERL2 =    0.17379815659004

6-2_72j1          8-72-1              
OVERL  =   -0.72372495228818
OVERL2 =    0.52377780656453

6-2_72j1          8-72-2              
OVERL  =    0.43720364098247
OVERL2 =    0.19114702368833

6-2_72j1          8-72-3              
OVERL  =    0.20394347918396
OVERL2 =     4.1592942701658D-02

6-2_72j1          8-72-4              
OVERL  =    0.17156976492809
OVERL2 =     2.9436184237481D-02

6-2_72j1          8-72-5              
OVERL  =     3.5919983290052D-03
OVERL2 =     1.2902451995576D-05

6-2_72j2          8-72-0              
OVERL  =    0.18426136145946
OVERL2 =     3.3952249326894D-02

6-2_72j2          8-72-1              
OVERL  =    0.77348091210349
OVERL2 =    0.59827272138845

6-2_72j2          8-72-2              
OVERL  =    0.35419245525598
OVERL2 =    0.12545229536026

6-2_72j2          8-72-3              
OVERL  =    0.29691687635879
OVERL2 =     8.8159631466659D-02

6-2_72j2          8-72-4              
OVERL  =   -0.27510050441549
OVERL2 =     7.5680287529659D-02

6-2_72j2          8-72-5              
OVERL  =     2.7194163485769D-03
OVERL2 =     7.3952252769074D-06

6-2_72j3          8-72-0              
OVERL  =    0.29804459618564
OVERL2 =     8.8830581315462D-02

6-2_72j3          8-72-1              
OVERL  =    0.21392012463400
OVERL2 =     4.5761819723424D-02

6-2_72j3          8-72-2              
OVERL  =   -0.42023827744276
OVERL2 =    0.17660020982806

6-2_72j3          8-72-3              
OVERL  =   -0.78340343474592
OVERL2 =    0.61372094157170

6-2_72j3          8-72-4              
OVERL  =    0.11939540169037
OVERL2 =     1.4255261944804D-02

6-2_72j3          8-72-5              
OVERL  =     4.3621924176885D-03
OVERL2 =     1.9028722688939D-05

6-2_72j4          8-72-0              
OVERL  =    0.13575618595992
OVERL2 =     1.8429742026384D-02

6-2_72j4          8-72-1              
OVERL  =   -0.28593643605391
OVERL2 =     8.1759645463211D-02

6-2_72j4          8-72-2              
OVERL  =   -0.40485723738601
OVERL2 =    0.16390938266383

6-2_72j4          8-72-3              
OVERL  =    0.45253788075196
OVERL2 =    0.20479053351547

6-2_72j4          8-72-4              
OVERL  =   -0.56618411772956
OVERL2 =    0.32056445516920

6-2_72j4          8-72-5              
OVERL  =    -1.1288909145950D-03
OVERL2 =     1.2743946970551D-06

6-2_72j5          8-72-0              
OVERL  =     3.3638756330238D-02
OVERL2 =     1.1315659274451D-03

6-2_72j5          8-72-1              
OVERL  =     9.3038714691729D-02
OVERL2 =     8.6562024314889D-03

6-2_72j5          8-72-2              
OVERL  =   -0.17278614239104
OVERL2 =     2.9855051002375D-02

6-2_72j5          8-72-3              
OVERL  =    0.70889657663970
OVERL2 =    0.50253435637148

6-2_72j5          8-72-4              
OVERL  =    0.52850957720485
OVERL2 =    0.27932237319725

6-2_72j5          8-72-5              
OVERL  =     2.1659861845057D-03
OVERL2 =     4.6914961514695D-06

7-1_76j1          8-76-0              
OVERL  =   -0.98629145762553
OVERL2 =    0.97277083938510

7-1_76j1          8-76-1              
OVERL  =     2.2168797500652D-06
OVERL2 =     4.9145558262490D-12

7-1_77j1          8-77-0              
OVERL  =    0.58208850247733
OVERL2 =    0.33882702471630

7-1_77j1          8-77-1              
OVERL  =   -0.79704541660809
OVERL2 =    0.63528139613596

7-1_77j1          8-77-2              
OVERL  =    -1.8140386748078D-04
OVERL2 =     3.2907363136983D-08

7-1_77j2          8-77-0              
OVERL  =   -0.96994554019274
OVERL2 =    0.94079435093978

7-1_77j2          8-77-1              
OVERL  =   -0.18887940096603
OVERL2 =     3.5675428109286D-02

7-1_77j2          8-77-2              
OVERL  =     5.5457129018865D-05
OVERL2 =     3.0754931590150D-09

7-1_78j1          8-78-0              
OVERL  =    0.42892460754235
OVERL2 =    0.18397631895536

7-1_78j1          8-78-1              
OVERL  =   -0.69208307939035
OVERL2 =    0.47897898877843

7-1_78j1          8-78-2              
OVERL  =    0.54775668193340
OVERL2 =    0.30003738260268

7-1_78j1          8-78-3              
OVERL  =     1.0411883295350D-01
OVERL2 =     1.0840731375598D-02

7-1_78j1          8-78-4              
OVERL  =     3.5212542614293D-05
OVERL2 =     1.2399231573634D-09

7-1_78j1          8-78-5              
OVERL  =    -1.6086281099080D-05
OVERL2 =     2.5876843959862D-10

7-1_78j2          8-78-0              
OVERL  =    0.33901918297203
OVERL2 =    0.11493400642302

7-1_78j2          8-78-1              
OVERL  =    0.78683607440832
OVERL2 =    0.61911100799029

7-1_78j2          8-78-2              
OVERL  =    0.18972024883459
OVERL2 =     3.5993772817857D-02

7-1_78j2          8-78-3              
OVERL  =   -0.44972345276153
OVERL2 =    0.20225118396375

7-1_78j2          8-78-4              
OVERL  =    -4.1888234455313D-05
OVERL2 =     1.7546241857833D-09

7-1_78j2          8-78-5              
OVERL  =     1.8043768000946D-05
OVERL2 =     3.2557756367198D-10

7-1_78j3          8-78-0              
OVERL  =   -0.66928776221468
OVERL2 =    0.44794610865033

7-1_78j3          8-78-1              
OVERL  =    0.18643364475357
OVERL2 =     3.4757503896102D-02

7-1_78j3          8-78-2              
OVERL  =    0.18561156177578
OVERL2 =     3.4451651864845D-02

7-1_78j3          8-78-3              
OVERL  =    0.67389601621514
OVERL2 =    0.45413584067063

7-1_78j3          8-78-4              
OVERL  =    -6.8740935341440D-06
OVERL2 =     4.7253161916161D-11

7-1_78j3          8-78-5              
OVERL  =     4.4432492572078D-06
OVERL2 =     1.9742463961677D-11

7-1_78j4          8-78-0              
OVERL  =   -0.30245614723710
OVERL2 =     9.1479721001510D-02

7-1_78j4          8-78-1              
OVERL  =   -0.19159941189352
OVERL2 =     3.6710334637942D-02

7-1_78j4          8-78-2              
OVERL  =     7.7067756810843D-02
OVERL2 =     5.9394391398553D-03

7-1_78j4          8-78-3              
OVERL  =   -0.91271817280527
OVERL2 =    0.83305446296900

7-1_78j4          8-78-4              
OVERL  =     7.8525999271881D-06
OVERL2 =     6.1663325616474D-11

7-1_78j4          8-78-5              
OVERL  =    -4.4861659924661D-06
OVERL2 =     2.0125685311960D-11

8_84j1            8-84-0              
OVERL  =    -1.0000002921767
OVERL2 =     1.0000005843536

8_84j1            8-84-1              
OVERL  =    -5.8874904468309D-08
OVERL2 =     3.4662543761525D-15

8_85j1            8-85-0              
OVERL  =   -0.99999994880627
OVERL2 =    0.99999989761254

8_85j1            8-85-1              
OVERL  =    -3.0416647754352D-07
OVERL2 =     9.2517246061231D-14

8_86j1            8-86-0              
OVERL  =    0.30840271849448
