
         Overlap matrices  exact - Jain states for N=6 electrons
OVERL2 =    0.934498

3-3_35j3          6-35-1
OVERL  =    -3.38858E-02
OVERL2 =     1.14825E-03

3-3_35j3          6-35-2
OVERL  =   -0.127945
OVERL2 =     1.63699E-02

3-3_35j3          6-35-3
OVERL  =    -3.59786E-09
OVERL2 =     1.29446E-17

3-3_35j3          6-35-4
OVERL  =     2.39902E-10
OVERL2 =     5.75529E-20

3-3_35j3          6-35-5
OVERL  =     6.52024E-10
OVERL2 =     4.25135E-19

3-3_35j4          6-35-0
OVERL  =   -0.961232
OVERL2 =    0.923968

3-3_35j4          6-35-1
OVERL  =    -2.19480E-02
OVERL2 =     4.81716E-04

3-3_35j4          6-35-2
OVERL  =    0.137058
OVERL2 =     1.87848E-02

3-3_35j4          6-35-3
OVERL  =    -6.07308E-02
OVERL2 =     3.68823E-03

3-3_35j4          6-35-4
OVERL  =     5.79471E-09
OVERL2 =     3.35786E-17

3-3_35j4          6-35-5
OVERL  =    -1.53757E-11
OVERL2 =     2.36412E-22

3-3_35j5          6-35-0
OVERL  =     9.66645E-02
OVERL2 =     9.34402E-03

3-3_35j5          6-35-1
OVERL  =    -4.81450E-02
OVERL2 =     2.31794E-03

3-3_35j5          6-35-2
OVERL  =    -5.59458E-02
OVERL2 =     3.12993E-03

3-3_35j5          6-35-3
OVERL  =   -0.133219
OVERL2 =     1.77472E-02

3-3_35j5          6-35-4
OVERL  =    -4.37073E-10
OVERL2 =     1.91033E-19

3-3_35j5          6-35-5
OVERL  =     1.12439E-09
OVERL2 =     1.26425E-18

4-2_35j1          6-35-0
OVERL  =    0.988168
OVERL2 =    0.976476

4-2_35j1          6-35-1
OVERL  =     2.00766E-09
OVERL2 =     4.03072E-18

4-2_36j1          6-36-0
OVERL  =    0.709878
OVERL2 =    0.503927

4-2_36j1          6-36-1
OVERL  =   -0.632500
OVERL2 =    0.400056

4-2_36j1          6-36-2
OVERL  =    -4.67312E-09
OVERL2 =     2.18380E-17

4-2_36j2          6-36-0
OVERL  =    0.453358
OVERL2 =    0.205533

4-2_36j2          6-36-1
OVERL  =    0.807882
OVERL2 =    0.652673

4-2_36j2          6-36-2
OVERL  =     1.20726E-09
OVERL2 =     1.45748E-18

4-2_37j1          6-37-0
OVERL  =    0.328091
OVERL2 =    0.107644

4-2_37j1          6-37-1
OVERL  =    0.782253
OVERL2 =    0.611920

4-2_37j1          6-37-2
OVERL  =    0.413415
OVERL2 =    0.170912

4-2_37j1          6-37-3
OVERL  =    -5.02471E-10
OVERL2 =     2.52477E-19

4-2_37j1          6-37-4
OVERL  =    -2.95395E-02
OVERL2 =     8.72579E-04

4-2_37j1          6-37-5
OVERL  =    -8.66769E-02
OVERL2 =     7.51288E-03

4-2_37j2          6-37-0
OVERL  =    0.236685
OVERL2 =     5.60197E-02

4-2_37j2          6-37-1
OVERL  =   -0.770450
OVERL2 =    0.593594

4-2_37j2          6-37-2
OVERL  =    0.298237
OVERL2 =     8.89456E-02

4-2_37j2          6-37-3
OVERL  =     9.44683E-10
OVERL2 =     8.92426E-19

4-2_37j2          6-37-4
OVERL  =    -2.13097E-02
OVERL2 =     4.54105E-04

4-2_37j2          6-37-5
OVERL  =    0.130426
OVERL2 =     1.70109E-02

4-2_37j3          6-37-0
OVERL  =    0.438240
OVERL2 =    0.192054

4-2_37j3          6-37-1
OVERL  =   -0.236184
OVERL2 =     5.57829E-02

4-2_37j3          6-37-2
OVERL  =   -0.276105
OVERL2 =     7.62337E-02

4-2_37j3          6-37-3
OVERL  =    -2.29251E-09
OVERL2 =     5.25561E-18

4-2_37j3          6-37-4
OVERL  =    -3.94566E-02
OVERL2 =     1.55682E-03

4-2_37j3          6-37-5
OVERL  =    -3.63993E-02
OVERL2 =     1.32491E-03

4-2_37j4          6-37-0
OVERL  =    0.181266
OVERL2 =     3.28573E-02

4-2_37j4          6-37-1
OVERL  =    0.446394
OVERL2 =    0.199267

4-2_37j4          6-37-2
OVERL  =   -0.456813
OVERL2 =    0.208678

4-2_37j4          6-37-3
OVERL  =    -4.95726E-10
OVERL2 =     2.45745E-19

4-2_37j4          6-37-4
OVERL  =    -1.63201E-02
OVERL2 =     2.66347E-04

4-2_37j4          6-37-5
OVERL  =    0.123776
OVERL2 =     1.53205E-02

4-2_37j5          6-37-0
OVERL  =     8.71241E-02
OVERL2 =     7.59061E-03

4-2_37j5          6-37-1
OVERL  =   -0.268031
OVERL2 =     7.18408E-02

4-2_37j5          6-37-2
OVERL  =   -0.219563
OVERL2 =     4.82081E-02

4-2_37j5          6-37-3
OVERL  =     2.83421E-09
OVERL2 =     8.03272E-18

4-2_37j5          6-37-4
OVERL  =    -7.84415E-03
OVERL2 =     6.15307E-05

4-2_37j5          6-37-5
OVERL  =   -0.120585
OVERL2 =     1.45408E-02

5-1_39j1          6-39-0
OVERL  =   -0.986389
OVERL2 =    0.972964

5-1_39j1          6-39-1
OVERL  =     1.91774E-09
OVERL2 =     3.67774E-18

5-1_40j1          6-40-0
OVERL  =    0.779612
OVERL2 =    0.607795

5-1_40j1          6-40-1
OVERL  =    0.603110
OVERL2 =    0.363742

5-1_40j1          6-40-2
OVERL  =    -2.02908E-09
OVERL2 =     4.11715E-18

5-1_40j2          6-40-0
OVERL  =    0.246441
OVERL2 =     6.07333E-02

5-1_40j2          6-40-1
OVERL  =   -0.953239
OVERL2 =    0.908665

5-1_40j2          6-40-2
OVERL  =    -4.06144E-10
OVERL2 =     1.64953E-19

5-1_41j1          6-41-0
OVERL  =    0.780845
OVERL2 =    0.609719

5-1_41j1          6-41-1
OVERL  =    0.403594
OVERL2 =    0.162888

5-1_41j1          6-41-2
OVERL  =    0.441548
OVERL2 =    0.194965

5-1_41j1          6-41-3
OVERL  =    -5.99358E-02
OVERL2 =     3.59231E-03

5-1_41j1          6-41-4
OVERL  =     1.58070E-09
OVERL2 =     2.49862E-18

5-1_41j1          6-41-5
OVERL  =    -4.97186E-10
OVERL2 =     2.47194E-19

5-1_41j2          6-41-0
OVERL  =   -0.764182
OVERL2 =    0.583974

5-1_41j2          6-41-1
OVERL  =    0.307980
OVERL2 =     9.48519E-02

5-1_41j2          6-41-2
OVERL  =    0.336943
OVERL2 =    0.113530

5-1_41j2          6-41-3
OVERL  =    0.407462
OVERL2 =    0.166025

5-1_41j2          6-41-4
OVERL  =     2.38055E-09
OVERL2 =     5.66702E-18

5-1_41j2          6-41-5
OVERL  =     6.70333E-10
OVERL2 =     4.49347E-19

5-1_41j3          6-41-0
OVERL  =   -0.244773
OVERL2 =     5.99141E-02

5-1_41j3          6-41-1
OVERL  =    0.290827
OVERL2 =     8.45805E-02

5-1_41j3          6-41-2
OVERL  =   -0.636353
OVERL2 =    0.404946

5-1_41j3          6-41-3
OVERL  =   -0.639968
OVERL2 =    0.409559

5-1_41j3          6-41-4
OVERL  =     1.71602E-09
OVERL2 =     2.94473E-18

5-1_41j3          6-41-5
OVERL  =     6.48908E-10
OVERL2 =     4.21082E-19

5-1_41j4          6-41-0
OVERL  =    0.315169
OVERL2 =     9.93315E-02

5-1_41j4          6-41-1
OVERL  =     7.48935E-02
OVERL2 =     5.60904E-03

5-1_41j4          6-41-2
OVERL  =   -0.409683
OVERL2 =    0.167840

5-1_41j4          6-41-3
OVERL  =    0.824019
OVERL2 =    0.679007

5-1_41j4          6-41-4
OVERL  =     1.53907E-09
OVERL2 =     2.36874E-18

5-1_41j4          6-41-5
OVERL  =     1.77248E-09
OVERL2 =     3.14169E-18

6_45j1            6-45-0              
OVERL  =    1.000000
OVERL2 =    1.000000

6_45j1            6-45-1              
OVERL  =    -9.09839E-08
OVERL2 =     8.27808E-15

6_46j1            6-46-0              
OVERL  =    -1.00000
OVERL2 =     1.00000

6_46j1            6-46-1              
OVERL  =     2.77979E-06
OVERL2 =     7.72722E-12

6_47j1            6-47-0              
OVERL  =    0.898811
OVERL2 =    0.807860

6_47j1            6-47-1              
OVERL  =    0.438337
OVERL2 =    0.192139

6_47j1            6-47-2              
OVERL  =     9.39680E-06
OVERL2 =     8.82998E-11

6_47j2            6-47-0              
OVERL  =   -0.823256
OVERL2 =    0.677751

6_47j2            6-47-1              
OVERL  =    0.567670
OVERL2 =    0.322249

6_47j2            6-47-2              
OVERL  =    -4.72172E-06
OVERL2 =     2.22946E-11

6_48j1            6-48-0              
OVERL  =    0.490760
OVERL2 =    0.240845

6_48j1            6-48-1              
OVERL  =    0.871233
OVERL2 =    0.759047

6_48j1            6-48-2              
OVERL  =     1.03836E-02
OVERL2 =     1.07820E-04

6_48j1            6-48-3              
OVERL  =    -2.15871E-07
OVERL2 =     4.66002E-14

6_48j2            6-48-0              
OVERL  =   -0.712840
OVERL2 =    0.508142

6_48j2            6-48-1              
OVERL  =   -0.307417
OVERL2 =     9.45051E-02

6_48j2            6-48-2              
OVERL  =   -0.630360
OVERL2 =    0.397354

6_48j2            6-48-3              
OVERL  =     1.43585E-07
OVERL2 =     2.06166E-14

6_48j3            6-48-0              
OVERL  =    0.983678
OVERL2 =    0.967622

6_48j3            6-48-1              
OVERL  =   -0.174637
OVERL2 =     3.04980E-02

6_48j3            6-48-2              
OVERL  =    -4.33566E-02
OVERL2 =     1.87980E-03

6_48j3            6-48-3              
OVERL  =    -6.24969E-08
OVERL2 =     3.90586E-15



